human,mouse
DRG2,Drg2
NFRKB,Nfrkb
CDH17,Cdh17
KLF10,Klf10
FAM118B,Fam118b
PRRX1,Prrx1
TCP11L2,Tcp11l2
CPA6,Cpa6
PLAC8L1,Plac8l1
LMNTD1,Lmntd1
NEFM,Nefm
CACNA1C,Cacna1c
GABRB2,Gabrb2
CNIH4,Cnih4
MFSD8,Mfsd8
OR8B3,Olfr918
OR8B3,Olfr147
ITPKB,Itpkb
EXOSC2,Exosc2
VAT1,Vat1
FKBPL,Fkbpl
RAB7B,Rab7b
CADPS2,Cadps2
RNF148,Rnf148
OR2T6,Olfr720
CD48,Cd48
AC011513.3,Ceacam1
AC011513.3,Ceacam2
AK1,Ak1
NKX2-6,Nkx2-6
ASS1,Ass1
USP35,Usp35
RNF26,Gm9008
RNF26,Rnf26
PM20D1,Pm20d1
ARHGAP26,Arhgap26
PDZD3,Pdzd3
MS4A15,Ms4a15
HINFP,Hinfp
RAB29,Rab29
LGALS7,Lgals7
CYP3A7-CYP3A51P,Cyp3a44
CYP3A7-CYP3A51P,Cyp3a16
CYP3A7-CYP3A51P,Cyp3a57
CYP3A7-CYP3A51P,Cyp3a25
CYP3A7-CYP3A51P,Cyp3a11
CYP3A7-CYP3A51P,Cyp3a41a
CYP3A7-CYP3A51P,Cyp3a41b
CYP3A7-CYP3A51P,Cyp3a13
CYP3A7-CYP3A51P,Cyp3a59
PPP1R3F,Ppp1r3f
KIAA1211L,2010300C02Rik
SEPT4,Sept4
MEPE,Mepe
CR1,Cr1l
PACSIN2,Pacsin2
NEU1,Neu1
SPIC,Spic
STKLD1,Stkld1
CLNS1A,Clns1a
TP53BP2,Trp53bp2
MRNIP,Mrnip
CCDC22,Ccdc22
POFUT1,Pofut1
MS4A12,Ms4a12
ELK4,Elk4
NDUFAF8,Ndufaf8
PTGES3L-AARSD1,Gm27029
PTGES3L-AARSD1,Ptges3l
ANKRD11,Ankrd11
NUGGC,Nuggc
TAS2R41,Tas2r126
C7orf50,3110082I17Rik
MAML1,Maml1
SURF2,Surf2
ARL1,Arl1
MVK,Mvk
TRIP12,Trip12
NDRG3,Ndrg3
UBE4A,Ube4a
LIMK1,Limk1
P2RY6,P2ry6
KLC1,Klc1
GDAP2,Gdap2
TRHR,Trhr
SLC32A1,Slc32a1
AMN,Amn
ACAP1,Acap1
RNF122,Rnf122
CES4A,Ces4a
MYEF2,Gm9833
MYEF2,Myef2
DDI1,Ddi1
ICAM4,Icam4
AKR1A1,Akr1a1
OLIG3,Olig3
CTH,Cth
CDKL3,Cdkl3
ZNF609,Zfp609
PNLIP,Pnlip
NSMCE1,Nsmce1
SHB,Shb
DGCR6,Dgcr6
RP11-613M10.9,Shb
CYLC1,Cylc1
SLC9A8,Slc9a8
BATF3,Batf3
ZNF639,Zfp639
ABCA2,Abca2
CES2,Ces2a
CES2,Ces2h
CES2,Ces2f
CES2,Ces2e
CES2,Ces2b
CES2,Ces2g
CES2,Ces2c
PPP4R2,Ppp4r2
CES3,Ces3a
CES3,Ces3b
FBXO31,Fbxo31
VDAC3,Vdac3-ps1
VDAC3,Vdac3
RP11-178L8.4,1700018B08Rik
OR5W2,Olfr1153
OR5W2,Olfr1140
OR5W2,Olfr1152
OR5W2,Olfr1135
OR5W2,Olfr1137
OR5W2,Olfr1138
OR5W2,Olfr1136
DNAJC8,Dnajc8
PRKACA,Prkaca
SRD5A3,Srd5a3
SEMA4C,Sema4c
PEX14,Pex14
EEF2,Eef2
KLC4,Klc4
TMEM259,Tmem259
CEP57,Cep57
RNF34,Rnf34
DEFB123,Defb36
RLN3,Rln3
ACSS2,Acss2
SLC25A29,Slc25a29
ZXDB,Zxdb
TMEM255B,Tmem255b
DEFB115,Defb28
IZUMO1R,Izumo1r
USP17L5,Usp17ld
USP17L5,Usp17lb
USP17L5,Usp17la
USP17L5,Usp17le
USP17L5,Usp17lc
USP17L23,Usp17ld
USP17L23,Usp17lb
USP17L23,Usp17la
USP17L23,Usp17le
USP17L23,Usp17lc
MEOX1,Meox1
RAB24,Rab24
ATF7,Gm28047
ATF7,Atf7
FAM220A,Fam220a
USP17L20,Usp17ld
USP17L20,Usp17lb
USP17L20,Usp17la
USP17L20,Usp17le
USP17L20,Usp17lc
WDCP,Wdcp
TBK1,Tbk1
NR5A1,Nr5a1
LSM14B,Lsm14b
TP53I11,Trp53i11
LYPLA1,Lypla1
HNRNPA0,Hnrnpa0
USP17L10,Usp17ld
USP17L10,Usp17lb
USP17L10,Usp17la
USP17L10,Usp17le
USP17L10,Usp17lc
RNASEH2A,Rnaseh2a
CYTH3,Cyth3
TSPAN18,Tspan18
GPATCH8,Gpatch8
JUNB,Junb
IGKV3D-7,Igkv18-36
POLR2F,Polr2f
EFCAB10,Efcab10
AP1B1,Ap1b1
IFNA17,Ifna14
IFNA17,Ifna11
IFNA17,Ifna9
IFNA17,Ifna2
IFNA17,Ifna5
IFNA17,Ifna15
IFNA17,Ifna16
IFNA17,Ifnab
IFNA17,Ifna6
IFNA17,Ifna1
IFNA17,Ifna7
IFNA17,Ifna13
IFNA17,Ifna12
IFNA17,Ifna4
BACH1,Bach1
IFNA10,Ifna14
IFNA10,Ifna11
IFNA10,Ifna9
IFNA10,Ifna2
IFNA10,Ifna5
IFNA10,Ifna15
IFNA10,Ifna16
IFNA10,Ifnab
IFNA10,Ifna6
IFNA10,Ifna1
IFNA10,Ifna7
IFNA10,Ifna13
IFNA10,Ifna12
IFNA10,Ifna4
C2CD4D,C2cd4d
RNF207,Rnf207
NCAPG,Ncapg
ZFHX3,Zfhx3
ANKRA2,Ankra2
PIP4K2C,Pip4k2c
GPHB5,Gphb5
CSGALNACT2,Csgalnact2
ANKS4B,Anks4b
CORO6,Coro6
PGLYRP4,Pglyrp4
ADGRL3,Adgrl3
CC2D1A,Cc2d1a
AHRR,Ahrr
DDB1,Ddb1
PCED1B,Pced1b
RNF6,Rnf6
ZNF260,Zfp260
IGKV2D-30,Igkv1-35
IGKV2D-30,Igkv1-135
IGKV2D-30,Igkv1-132
IGKV2D-30,Igkv1-131
IGKV2D-30,Igkv1-133
ABCG5,Abcg5
ZNF8,Zfp128
PDE10A,Pde10a
NTN5,Ntn5
F2,F2
TMEM174,Tmem174
TAS2R30,Tas2r120
TAS2R30,Tas2r136
LMO7,Lmo7
MXRA7,Mxra7
BEST2,Best2
GUCA2B,Guca2b
ZFYVE26,Zfyve26
RELL2,Rell2
CD27,Cd27
ZNF780A,Zfp60
ZNF780A,Zfp626
ZNF780A,Zfp780b
ZNF780A,Zfp850
CHRM2,Chrm2
CAMKK2,Camkk2
ISY1,Isy1
TMEM158,Tmem158
BUB1B,Bub1b
CHD5,Chd5
CDCP1,Cdcp1
OR4F5,Olfr1293-ps
OR4F5,Olfr1289
ZNF274,Zfp369
ZNF274,Zfp110
FAM217B,Fam217b
SLC7A6OS,Slc7a6os
ASXL2,Asxl2
MELTF,Meltf
C1QL1,C1ql1
AP3D1,Ap3d1
XRCC2,Xrcc2
MYOF,Myof
LRRK1,Lrrk1
REC8,Rec8
TRGC1,Tcrg-C4
TRGC1,Tcrg-C2
TRGC1,Tcrg-C3
TRGC1,Tcrg-C1
TRGV2,Tcrg-V7
P4HTM,P4htm
ASF1A,Asf1a
FADD,Fadd
MGAT1,Mgat1
CCNDBP1,Ccndbp1
CCDC81,Ccdc81
MFAP3L,Mfap3l
RREB1,Rreb1
FAM184A,Fam184a
WASHC5,Washc5
FCRL2,Fcrls
SNORD96B,Snord96a
H19_1,Gm27483
RNU6-803P,Gm25160
RNU6-803P,Gm26008
SNORD8,Snord8
RNU2-65P,Gm24666
RNA5SP497,n-R5s161
HOXA11-AS1_4,Gm27817
SNORD14,Snord14a
RNU6-1137P,Gm26122
RNU6-1137P,Gm26187
RNU6-1137P,Gm24185
uc_338,Gm27617
RNU6-549P,Gm22681
RNU1-68P,Gm25949
RNU1-68P,Gm24788
SNORD116-1,Gm26097
SNORD116-1,Gm23265
SNORD116-1,Gm24711
SNORD116-1,Gm25155
SNORD116-1,Snord116l1
SNORD116-1,Gm25074
SNORD116-1,Snord116l6
SNORD116-1,Gm22584
SNORD116-1,Gm25615
SNORD116-1,Gm22417
SNORD116-1,Snord116l17
SNORD116-1,Gm25350
SNORD116-1,Snord116l11
SNORD116-1,Snord116l3
SNORD116-1,Gm22128
SNORD116-1,Gm25944
SNORD116-1,Gm22047
SNORD116-1,Gm22941
SNORD116-1,Snord116l2
SNORD116-1,Gm24153
SNORD116-1,Snord116l9
SNORD116-1,Gm26246
SNORD116-1,Gm23767
SNORD116-1,Gm22631
SNORD116-1,Snord116l15
SNORD116-1,Gm23047
SNORD116-1,Gm23862
SNORD116-1,Gm26504
SNORD116-1,Gm25471
SNORD116-1,Gm23619
SNORD116-1,Gm23953
SNORD116-1,Gm24609
SNORD116-1,Gm22046
SNORD116-1,Gm25816
SNORD116-1,Gm22812
SNORD116-1,Gm24518
SNORD116-1,Snord116l7
SNORD116-1,Gm22258
SNORD116-1,Snord116l16
SNORD116-1,Gm22131
SNORD116-1,Gm24760
SNORD116-1,Snord116l14
SNORD116-1,Snord116l12
SNORD116-1,Snord116l4
SNORD116-1,Snord116l8
SNORD116-1,Gm23141
SNORD116-1,Gm22776
SNORD116-1,Gm26433
SNORD116-1,Gm22285
SNORD116-1,Gm26032
SNORD116-1,Gm24264
SNORD116-1,Gm26502
SNORD116-1,Gm25210
SNORD116-1,Snord116l13
SNORD116-1,Gm22863
SNORD116-1,Gm25474
SNORD116-1,Gm23446
SNORD116-1,Gm22851
SNORD116-1,Gm25597
SNORD116-1,Gm26188
SNORD116-1,Gm26270
SNORD116-1,Snord116l5
SNORD116-1,Gm26201
SNORD116-1,Gm25157
SNORD116-1,Snord116l10
SNORD116-1,Gm26332
SNORD116-1,Gm26365
SNORD116-1,Gm24618
SNORD116-1,Gm23089
SNORD116-1,Gm23313
U1,Gm25949
U1,Gm24788
RNU6-1161P,Gm25332
RNU1-76P,Gm22666
RNU6-34P,Gm24863
SNORA14A,Gm26397
RN7SL338P,Gm27853
SNORA21,Gm27326
U8,Gm24208
U8,Snord118
SNORD16,Snord16a
SNORD16,Gm23136
RNU6-890P,Gm24686
U4,Gm22122
RNU6-525P,Gm23194
RNU6-525P,Gm23106
RNU6-510P,Gm24129
RNA5SP228,n-R5s6
RNA5SP141,n-R5s168
SNORD113-2,Gm22962
SNORD113-2,AF357425
RNU6-552P,Gm25793
RPL34,Rpl34
SNX4,Snx4
ATP6AP1,Atp6ap1
NUDT4P1,Nudt4
AZIN1,Azin1
TRIM17,Trim17
VPS51,Vps51
ODF1,Odf1
TTC38,Ttc38
SLC7A14,Slc7a14
SYT2,Syt2
TMEM119,Tmem119
ATF4,Atf4
MRPL21,Mrpl21
MTDH,Mtdh
HMP19,Nsg2
BHLHE22,Bhlhe22
GTF2IRD2,Gtf2ird2
ADAM7,Adam7
PCDHGB4,Pcdhga8
PCDHGB4,Pcdhga11
PCDHGB4,Pcdhga6
PCDHGB4,Pcdhga5
PCDHGB1,Pcdhgb1
DNASE1,Dnase1
GAL,Gal
C12orf75,1500009L16Rik
POU2F3,Pou2f3
RP11-38C17.1,Mrpl30
MS4A18,Ms4a18
PPP1R13B,Ppp1r13b
PTPRZ1,Ptprz1
CCDC137,Ccdc137
OXLD1,Oxld1
FLT3LG,Flt3l
ADAT2,Adat2
GPI,Gpi1
PNOC,Pnoc
MYH15,Myh15
CFAP161,Cfap161
MS4A13,Ms4a13
HSF5,Hsf5
MYL2,Myl2
OR5AC1,Olfr197
HSPA1L,Hspa1l
PTOV1,Ptov1
FBXL6,Fbxl6
COBLL1,Cobll1
TREML2,Treml2
C11orf24,1810055G02Rik
FAM47E,Fam47e
MS4A6A,Ms4a6c
MS4A6A,Ms4a6d
MS4A6A,Ms4a6b
GLOD5,Glod5
GTF2I,Gtf2i
MRPL27,Mrpl27
PRAMEF20,AC133095.2
PRAMEF20,AC140325.2
PRAMEF20,Pramef25
PRAMEF20,Gm13040
PRAMEF20,Pramef12
PRAMEF20,C87499
PRAMEF20,A430089I19Rik
PRAMEF20,Gm12800
PRAMEF20,AC133095.1
PRAMEF20,Oog4
PRAMEF20,Gm12790
PRAMEF20,AC140325.3
PRAMEF20,AC140365.1
PRAMEF20,Pramel7
PRAMEF20,Gm13089
PRAMEF20,BC061212
PRAMEF20,E330014E10Rik
PRAMEF20,Gm10436
PRAMEF20,AC123873.2
PRAMEF20,AC125178.2
PRAMEF20,AC163611.2
PRAMEF20,AC140325.1
PRAMEF20,Gm13088
PRAMEF20,Gm3259
PRAMEF20,Gm16429
PRAMEF20,Oog3
PRAMEF20,Pramel4
PRAMEF20,D5Ertd577e
PRAMEF20,Gm6509
PRAMEF20,Gm13101
PRAMEF20,Gm13043
PRAMEF20,Gm10424
PRAMEF20,Gm13102
PRAMEF20,Pramef17
PRAMEF20,AC165294.2
PRAMEF20,AC125178.1
PRAMEF20,Gm13125
PRAMEF20,Gm3147
PRAMEF20,Gm12794
PRAMEF20,Gm7942
PRAMEF20,Pramel6
PRAMEF20,Gm7982
PRAMEF20,Gm16427
PRAMEF20,AC140325.4
PRAMEF20,Oog1
PRAMEF20,AC124606.2
PRAMEF20,C87977
PRAMEF20,Gm6367
PRAMEF20,Gm6502
PRAMEF20,AC123873.3
PRAMEF20,Pramel5
PRAMEF20,Pramel1
PRAMEF20,Gm7971
PRAMEF20,Pramef8
PRAMEF20,Pramef6
PRAMEF20,AC124606.1
PRAMEF20,Gm3183
PRAMEF20,AC163611.1
PRAMEF20,Gm13103
PRAMEF20,Gm16367
PRAMEF20,AC125178.3
PRAMEF20,Gm3286
PRAMEF20,BC080695
PRAMEF20,Gm13057
PRAMEF20,B020004J07Rik
PRAMEF20,Gm13128
PRAMEF20,C130073F10Rik
PRAMEF20,Oog2
PRAMEF20,Gm6205
PRAMEF20,AC123873.1
PRAMEF20,Gm13023
PRAMEF20,Gm2042
PRAMEF20,Gm13084
PRAMEF20,Gm13078
PRAMEF20,Gm16513
PRAMEF20,AC165294.1
PRAMEF20,C87414
PRAMEF20,Gm6351
PRAMEF20,Gm7978
PRAMEF20,Gm13083
ZDHHC5,Zdhhc5
FRG2B,Frg2f1
FTSJ3,Ftsj3
TMEM207,Tmem207
OSBPL9,Osbpl9
AC009336.19,Gm28230
IL21,Il21
EPOP,Epop
FBXW11,Fbxw11
SMIM3,Smim3
NUAK2,Nuak2
PXMP2,Pxmp2
TDG,Tdg
GSTM2,Gstm3
GSTM2,Gstm2
GSTM2,Gstm4
GSTM2,Gstm6
GSTM2,Gstm1
GSTM2,Gstm7
GSTM2,Gm6665
TSNAX,Tsnax
OR4D1,Olfr464
PLXNB1,Plxnb1
DAW1,Daw1
OR51H1,Olfr555
OR51H1,Olfr573-ps1
OR51A7,Olfr576
PRRT4,Prrt4
WWP1,Wwp1
TRIM69,Trim69
DNAL4,Dnal4
MYNN,Mynn
TRPV5,Trpv5
C5orf24,B230219D22Rik
RASGRP3,Rasgrp3
MSI2,Msi2
RWDD1,Rwdd1
HSD17B6,Hsd17b6
MFAP2,Mfap2
KIR2DL4,Kir3dl2
KIR2DL4,Kir3dl1
PTGES,Ptges
CHPF2,Chpf2
ZNF592,Zfp592
SLC6A4,Slc6a4
CHD7,Chd7
RPS6KA1,Rps6ka1
LSM11,Lsm11
MSN,Msn
RP11-321E2.6,Taf11
NDUFAB1,Ndufab1
NDUFA6,Ndufa6
ROBO1,Robo1
LRAT,Lrat
PIH1D2,Pih1d2
ATP2B3,Atp2b3
ASPM,Aspm
NUDT8,Nudt8
SYP,Syp
MIOX,Miox
TTLL13P,Ttll13
SDHD,Sdhd
SSTR3,Sstr3
GBX1,Gbx1
TSPYL1,Tspyl1
C1orf131,2810004N23Rik
SOCS3,Socs3
ZMIZ2,Zmiz2
AP2A1,Ap2a1
NUDCD2,Nudcd2
FPGT,Fpgt
EVPL,Evpl
FAM32A,Fam32a
STMN2,Stmn2
C16orf92,4930451I11Rik
TPD52L1,Tpd52l1
ULBP3,Ulbp1
ZC4H2,Zc4h2
TRBV11-1,Trbv14
FAM204A,Fam204a
MYLIP,Mylip
MAPK7,Mapk7
HSPB2-C11orf52,Hspb2
HLA-E,H2-Q5
HLA-E,H2-Bl
TRBV20-1,Trbv20
BOD1L1,Bod1l
CDKN2AIPNL,Cdkn2aipnl
PPP1R3A,Ppp1r3a
C11orf52,2310030G06Rik
OR5B21,Olfr1444
TRBV10-2,Trbv13-1
TRBV10-2,Trbv13-2
TRBV10-2,Trbv13-3
TRIM67,Trim67
TRBV23-1,Trbv23
TRBV23-1,Trbv26
PEA15,Pea15a
OTUD6B,Otud6b
PTPN14,Ptpn14
TMTC2,Tmtc2
PSTPIP2,Pstpip2
FAU,Fau
FAU,Gm9843
CRYAB,Cryab
DLX4,Dlx4
SCUBE2,Scube2
MAL2,Mal2
CASD1,Casd1
KBTBD2,Kbtbd2
RASAL2,Rasal2
LRP1,Lrp1
RP11-514P8.6,Upk3bl
REV1,Rev1
OR14A2,Olfr305
OR14A2,Olfr298
OR14A2,Olfr307
OR14A2,Olfr294
OR14A2,Olfr304
CTNNA1,Ctnna1
OR13G1,Olfr309
IMPA1,Impa1
GJA5,Gja5
TRIQK,Triqk
NLRP3,Nlrp3
NUP50,Nup50
NUP50,1700123L14Rik
PCDHB11,Pcdhb19
PCDHB4,Pcdhb7
PCDHB4,Pcdhb5
PCDHB4,Pcdhb9
CBX6,Cbx6
FABP5,Fabp5
UGT2B4,Ugt2b38
UGT2B4,Ugt2b34
UGT2B4,Ugt2b5
UGT2B4,Ugt2b35
UGT2B4,Ugt2b37
UGT2B4,Ugt2b36
UGT2B4,Ugt2b1
DSN1,Dsn1
CYB5R3,Cyb5r3
MBLAC2,Mblac2
ENTPD4,Entpd4
ENTPD4,Gm21685
TNIP1,Tnip1
SRGAP2C,Srgap2
KIAA1107,Btbd8
KIAA1107,Gm42669
KIAA1107,A830010M20Rik
MYO1A,Myo1a
SUPT4H1,Supt4a
MBTD1,Mbtd1
AKT1S1,Akt1s1
SKAP2,Skap2
NAP1L1,Nap1l1
SDPR,Sdpr
TBC1D31,Tbc1d31
NANOS1,Nanos1
CBFA2T3,Cbfa2t3
ARVCF,Arvcf
GCN1,Gcn1l1
TES,Gm4985
TES,Gm4907
TES,Tes
PEBP4,Pebp4
SP6,Sp6
SCYL2,Scyl2
MYOZ3,Myoz3
CWC27,Cwc27
DSTYK,Dstyk
RP11-432M8.12,Taf11
COL14A1,Col14a1
ALDOA,Aldoart1
ALDOA,Aldoa
ALDOA,Aldoart2
PRRX2,Prrx2
AC005324.8,Zfp286
NDUFS3,Ndufs3
PCM1,Pcm1
BAK1,Bak1
ESCO2,Esco2
PAX4,Pax4
CAMP,Camp
RALGAPA1,Ralgapa1
EFEMP2,Efemp2
PHGDH,Phgdh
ZZEF1,Zzef1
KCTD10,Kctd10
C1orf122,1110065P20Rik
FAM26F,Fam26f
ABRACL,Abracl
EPAS1,Epas1
TARSL2,Tarsl2
SYCE1,Syce1
ASCL1,Ascl1
UBAP1,Ubap1
DLAT,Dlat
JADE2,Jade2
LRP2BP,Lrp2bp
MPEG1,Pfpl
MPEG1,Mpeg1
RNH1,Rnh1
SCEL,Scel
DOLPP1,Dolpp1
ZHX3,Zhx3
HDDC2,Hddc2
ATP8B1,Atp8b1
TOP1,Top1
GPR63,Gpr63
IPP,Ipp
GRK2,Grk2
NAGA,Naga
RUFY1,Rufy1
FERMT3,Fermt3
IL1RN,Il1rn
ZNF182,Zfp182
SURF6,Surf6
C17orf74,4933402P03Rik
CHML,Chml
FGF11,Fgf11
TBCK,Tbck
TRBV12-3,Trbv15
TBC1D14,Tbc1d14
RAB6A,Rab6a
CDC5L,RP23-468J15.3
CDC5L,RP24-211K19.4
CDC5L,RP24-211K19.7
CDC5L,RP24-211K19.3
CDC5L,RP24-211K19.5
CDC5L,RP24-211K19.8
CDC5L,RP24-211K19.6
CDC5L,Cdc5l
CDC5L,RP23-468J15.6
SEPT3,Sept3
FAM135A,Fam135a
ZC2HC1A,Zc2hc1a
KCTD17,Kctd17
IGF1,Igf1
NCOR2,Ncor2
TBCA,Tbca
COG8,Cog8
LUC7L3,Luc7l3
CCDC59,Ccdc59
RRP12,Rrp12
CFH,Cfhr1
CFH,Cfh
CFH,Gm4788
CFH,Cfhr2
PROS1,Pros1
IL12A,Il12a
SKA2,Ska2
C1orf52,2410004B18Rik
ABCA5,Abca5
EPHA3,Epha3
BNC1,Bnc1
RUBCN,Rubcn
RTN1,Rtn1
CSF2RB,Csf2rb
CSF2RB,Csf2rb2
RP11-249L12.1,Csnka2ip
COX5A,Cox5a
NXF5,Nxf7
NXF5,Nxf2
SH3KBP1,Sh3kbp1
NLGN3,Nlgn3
ATP13A1,Atp13a1
ZGPAT,Zgpat
TPM2,Tpm2
LRRN2,Lrrn2
PAPSS2,Papss2
SLC26A11,Slc26a11
RNF182,Rnf182
OR8U1,Olfr52
OR5T3,Olfr1094
OR5T3,Olfr1093
OR5T3,Olfr1102
GADD45B,Gadd45b
WDR63,Wdr63
RNU6-474P,Gm25143
RN7SL309P,Gm27853
AC233755.1,Ighv3-5
AC233755.1,Ighv3-6
AC233755.1,Ighv3-8
AC233755.1,Ighv3-4
AC233755.1,Ighv3-3
AC233755.1,Ighv12-3
AC233755.1,Ighv3-1
RNU6-269P,Gm22500
RNU6-269P,Gm22245
RNU4-26P,Gm24459
RNA5SP43,n-R5s72
RNU6-391P,Gm24076
RNU6-804P,Gm22101
RNU6-930P,Gm26049
RNA5SP494,n-R5s95
RN7SKP36,Gm22533
RNU11-5P,Gm24890
RNU11-5P,Gm25785
RN7SL569P,Gm27853
RNU6-1317P,Gm25045
SNORD88,Gm25108
RNU1-140P,Gm26290
RNU1-140P,Gm25914
RNU6-297P,Gm22894
RN7SKP185,Gm24015
RNU6-718P,Gm25684
RNU6-1079P,Gm22766
SNORD1A,Snord1a
RNU6-1082P,Gm24686
RNU6-732P,Gm22101
uc_338,Gm27401
RNU6-66P,Gm23423
RNU6-364P,Gm25081
RNU6-418P,Gm23314
RNU6-595P,Gm26206
RNU6-595P,Gm23623
RNU6-595P,Gm26373
SNORA35,Gm25107
WT1-AS_3,Gm27308
MEG3_2,Gm27335
MEG3_2,Gm27300
SMAD5-AS1_3,Gm27834
RNU6-8,Gm24019
SNORD36B,Gm22879
PCA3_2,Gm27970
RNA5SP361,Gm23152
RNU6-178P,Gm22716
SNORA50,Gm22711
ETNPPL,Etnppl
IRF4,Irf4
LRRC37A3,Lrrc37a
LRRC37A3,Gm884
RTN3,Rtn3
ETS1,Ets1
NAPEPLD,Napepld
IGHMBP2,Ighmbp2
RAG2,Rag2
PAK5,Pak7
OR8B8,Olfr145
ANXA13,Anxa13
RP11-309L24.4,Gm9047
ETFA,Etfa
SNED1,Sned1
BSX,Bsx
OR14C36,Olfr295
OR14C36,Olfr292
OR14C36,Olfr299
OR14C36,Olfr297
OR14C36,Olfr301
OR14C36,Olfr300-ps1
OR14C36,Olfr293
OR14C36,Olfr310
SEZ6L,Sez6l
NKX3-1,Nkx3-1
RASA4B,Rasa4
TCAF1,Tcaf1
THY1,Thy1
TOMM20,Tomm20
TCAF2,Tcaf2
LYSMD3,Lysmd3
MYCBPAP,Mycbpap
ADAMTS13,Adamts13
NRG4,Nrg4
BAHCC1,Bahcc1
OR5H15,Olfr196
OR5H15,Olfr186
OR5H15,Olfr187
OR5H15,Olfr183
OR5H15,Olfr191
OR5H15,Olfr190
OR5H15,Olfr193
SAMD7,Samd7
HOXD1,Hoxd1
KDM4A,Kdm4a
SELP,Selp
CCDC85B,Ccdc85b
MRPL58,Mrpl58
MS4A7,Ms4a7
WDR36,Wdr36
GFY,Gfy
MAS1,Mas1
FADS6,Fads6
CRTC2,Crtc2
UTP20,Utp20
SIPA1L2,Sipa1l2
BRMS1L,Brms1l
AATK,Aatk
SOX12,Sox12
FUNDC1,Fundc1
TSPAN1,Tspan1
CRYBB2,Crybb2
RP11-322N21.2,1700042G07Rik
KIAA1671,2900026A02Rik
OR6C1,Olfr786
OR6C1,Olfr802
FXYD2,Fxyd2
CLDN1,Cldn1
MKS1,Mks1
SCCPDH,Sccpdh
CNGA3,Cnga3
HORMAD2,Hormad2
CHST4,Chst4
NME2,Nme2
HGH1,Hgh1
SNUPN,Snupn
TRMT11,Trmt11
EXOSC4,Exosc4
KIR3DL3,Kir3dl2
KIR3DL3,Kir3dl1
GOLGA5,Golga5
NNMT,Nnmt
MAP6,Map6
FBXL17,Fbxl17
OSBP,Osbp
KCNK2,Kcnk2
NAA60,Naa60
DHFR2,Dhfr
STX19,Stx19
GALR2,Galr2
RAC2,Rac2
EPM2A,Epm2a
CPEB2,Cpeb2
ACTRT1,Actrt1
CCDC152,Ccdc152
TAF2,Taf2
C1QTNF7,C1qtnf7
PLET1,Plet1
HAUS1,Haus1
MFAP3,Mfap3
PTS,Pts
AP5B1,Ap5b1
RHOBTB1,Rhobtb1
SLC35G6,Slc35g3
SOCS1,Socs1
PTRH2,Ptrh2
ARRDC2,Arrdc2
C2CD3,C2cd3
NTMT1,Ntmt1
LAS1L,Las1l
CHD1L,Chd1l
C16orf90,1700037C18Rik
ENAH,Enah
GALNS,Galns
SMG8,Smg8
GDPD5,Gdpd5
HSD3B1,Hsd3b2
HSD3B1,Gm4450
HSD3B1,Hsd3b1
HSD3B1,Hsd3b6
HSD3B1,Gm10681
HSD3B1,Hsd3b5
HSD3B1,Hsd3b3
HSD3B1,Hsd3b4
RMI2,Rmi2
TCEANC2,Tceanc2
GALNT10,Galnt10
KDELR3,Kdelr3
IQCA1L,4931409K22Rik
STMND1,Stmnd1
HYI,Hyi
CENPF,Cenpf
UBE2G2,Ube2g2
CYP2E1,Cyp2e1
ST3GAL1,St3gal1
C1QTNF6,C1qtnf6
DIXDC1,Dixdc1
GTF2H2C,Gtf2h2
NKX3-2,Nkx3-2
AFMID,Afmid
GSTA1,Gsta3
ARF5,Arf5
ARL4C,Arl4c
KMO,Kmo
APOBEC2,Apobec2
LDB1,Ldb1
CD300C,Cd300c
CD300C,Cd300a
CD300C,Cd300c2
TBX4,Tbx4
HPS6,Hps6
ARPC1B,Arpc1b
ATF2,Atf2
EXT1,Ext1
HNF1B,Hnf1b
IL36B,Il1f8
PLBD2,Plbd2
RP11-343C2.11,Vps4a
IMMP1L,Immp1l
CHTF8,Chtf8
SLC30A8,Slc30a8
HAS3,Has3
ANKZF1,Ankzf1
STIP1,Stip1
TST,Tst
CHDH,Chdh
SYDE2,Syde2
ZNRF1,Znrf1
KPNA7,Kpna7
GLRA1,Glra1
TRPM4,Trpm4
SLC18A2,Slc18a2
TCTE1,Tcte1
LRTM2,Lrtm2
RUBCNL,Rubcnl
ZNF507,Zfp507
NFKBIE,Nfkbie
ETNK1,Etnk1
RTEL1-TNFRSF6B,Rtel1
SLC30A6,Slc30a6
HNRNPM,Hnrnpm
FGD4,Fgd4
BABAM1,Babam1
MINPP1,Minpp1
RNF217,Rnf217
HDAC11,Hdac11
TRADD,Tradd
RP11-5A19.5,Fbxl8
B4GALNT1,B4galnt1
POU2AF1,Pou2af1
ENTPD2,Entpd2
NEFH,Nefh
INVS,Invs
MAPKBP1,Mapkbp1
LYN,Lyn
FANCM,Fancm
SMARCC1,Smarcc1
PCK1,Pck1
C19orf47,2310022A10Rik
BLNK,Blnk
MROH2A,Mroh2a
LRTOMT,Tomt
PKM,Pkm
GOLT1A,Gm28040
GOLT1A,Golt1a
GPR31,Gpr31b
RFTN2,Rftn2
SLC26A2,Slc26a2
RPRD2,Rprd2
MFSD4B,Mfsd4b4
MFSD4B,Mfsd4b1
MFSD4B,Mfsd4b3
MFSD4B,Mfsd4b2
MFSD4B,Mfsd4b5
BACE2,Bace2
